cnum,instructor,cname,hours,rating
2000,"COMPEAU, PHILLIP",PRECLG WRKSHP,16.5625,4.797499999999999
2000,"KANGAS, JOSHUA",PRECLG WRKSHP,15.9325,4.6525
2201,"COMPEAU, PHILLIP",PRGRMMING SCIENTISTS,9.875,4.875
2201,"MARCAIS, GUILLAUME",PRGRMMING SCIENTISTS,12.5,2.5
2250,"ILYIN, VALENTIN",INTRO COMPTNL BIOLGY,13.71,3.29
2250,"ILYIN, VALENTIN",INTRO TO COMP BIO,10.125,3.57
2250,"MARCAIS, GUILLAUME",INTRO TO COMP BIO,9.95,2.85
2250,"MURPHY, ROBERT",INTRO COMPTNL BIOLGY,7.4,3.33
2250,"MURPHY, ROBERT",INTRO TO COMP BIO,8.816666666666666,3.8833333333333333
2250,"PFENNING, ANDREAS",INTRO TO COMP BIO,9.2025,3.5675
2250,"SCHWARTZ, RUSSELL",INTRO COMPTNL BIOLGY,6.5,3.33
2251,"COMPEAU, PHILLIP",GREAT IDEAS IN CB,13.733333333333334,4.390000000000001
2251,"GANAPATHIRAJU, MADHAVI",GREAT IDEAS IN CB,17.5,4.5
2251,"KINGSFORD, CARL",GREAT IDEAS IN CB,13.5,4.1
2261,"KANGAS, JOSHUA",QNTV CL MLC BLG LAB,6.33,4.41125
2261,"MCDADE, KEVIN",QNTV CL MLC BLG LAB,5.38,3.96
2261,"PROCACCIA, VERA",QNTV CL MLC BLG LAB,7.355,4.6
2319,"PFENNING, ANDREAS",GENOMICS & EPIGENETI,7.875,4.5
2331,"CARJA, OANA",MODELING EVOLUTION,7.0,4.0
2425,"MOHIMANI, HOSEIN",COMP METH PRO & META,8.0,5.0
2450,"KANGAS, JOSHUA",AUTMTN SCI RESRCH,5.0,4.0
2450,"LANGMEAD, CHRISTOPHER",AUTMTN BILOGL RESRCH,9.5,3.75
2450,"LANGMEAD, CHRISTOPHER",AUTMTN SCI RESRCH,8.0,4.0
2450,"MURPHY, ROBERT",AUTMTN SCI RESRCH,5.0,3.0
2510,"BAR-JOSEPH, ZIV",COMPUTATNL GENOMICS,9.74,3.6275
2510,"ILYIN, VALENTIN",COMPUTATNL GENOMICS,8.6,2.6
2510,"KIM, SEYOUNG",COMPUTATNL GENOMICS,10.63,3.57
2510,"MA, JIAN",COMPUTATNL GENOMICS,9.9275,3.85
2512,"CARJA, OANA",CMPL MTH BIO MDL SMT,18.33,2.33
2512,"SCHWARTZ, RUSSELL",CMPL MTH BIO MDL SMT,11.245999999999999,3.7399999999999998
2518,"LANGMEAD, CHRISTOPHER",COMP MEDICINE,5.3999999999999995,3.733333333333333
2601,"COMPEAU, PHILLIP",PRGRMMING SCIENTISTS,13.116,4.554
2601,"KINGSFORD, CARL",PRGRMMING SCIENTISTS,19.605,2.6325
2602,"BRASIER, DANIEL",PROF ISSUES COMP BIO,3.53,4.55
2602,"XU, MIN",PROF ISSUES COMP BIO,3.53,4.38
2604,"COMPEAU, PHILLIP",FUNDAMENTALS BIOINF,16.512,4.262
2604,"GULER, MUSTAFA",FUNDAMENTALS BIOINF,17.33,4.83
2605,"KANGAS, JOSHUA",PROF ISSUES A S,5.75,4.835
2613,"CHIDESTER, BENJAMIN",ALGR & ADV DTA STRC,12.0,2.67
2613,"KINGSFORD, CARL",ALGR & ADV DTA STRC,12.45,3.15
2613,"MA, JIAN",ALGR & ADV DTA STRC,11.813333333333333,3.563333333333333
2613,"MARCAIS, GUILLAUME",ALGR & ADV DTA STRC,12.8,3.8
2613,"MOHIMANI, HOSEIN",ALGR & ADV DTA STRC,12.203333333333333,3.27
2613,"RUFFALO, MATTHEW",ALGR & ADV DTA STRC,13.0,3.33
2620,"KIM, SEYOUNG",ML FOR SCIENTISTS,8.0,4.55
2620,"XU, MIN",ML FOR SCIENTISTS,9.9,2.47
2651,"VU, DU (JOHN)",NW TCHNLG FTR MRKTS,6.95,4.15
2654,"VU, DU (JOHN)",BIOTCHNG ENTRP DEVLP,8.41,3.68
2680,"CARJA, OANA",ESS MATH STAT SCI,9.145,4.0200000000000005
2680,"COMPEAU, PHILLIP",ESS MATH STAT SCI,8.85,4.58
2680,"KIM, SEYOUNG",ESS MATH STAT SCI,10.558571428571428,4.408571428571428
2699,"KANGAS, JOSHUA",IND STUDY IN COMPBIO,5.0,3.8
2699,"MURPHY, ROBERT",IND STUDY IN COMPBIO,5.0,3.6
2701,"CARJA, OANA",CURRNT TPCS COMP BIO,2.4,4.4
2701,"MOHIMANI, HOSEIN",CURRNT TPCS COMP BIO,2.375,3.925
2710,"BAR-JOSEPH, ZIV",COMPUTATNL GENOMICS,9.8425,4.165
2710,"KIM, SEYOUNG",COMPUTATNL GENOMICS,9.5,4.0
2710,"MA, JIAN",COMPUTATNL GENOMICS,9.965,3.965
2711,"DURAND, M",CMPT MOLC BLG GENMC,8.0,5.0
2712,"CARJA, OANA",CMPL MTHD BIO MDL SM,8.855,2.645
2712,"SCHWARTZ, RUSSELL",CMPL MTHD BIO MDL SM,15.68,3.1916666666666664
2715,"DEBLASIO, DANIEL",ADV TPC COMPTNL GENM,9.5,4.0
2715,"KIM, SEYOUNG",ADV TPC COMPTNL GENM,10.33,5.0
2715,"LEE, HEEWOOK",ADV TPC COMPTNL GENM,8.75,4.75
2715,"SHAO, MINGFU",ADV TPC COMPTNL GENM,7.25,4.5
2718,"LANGMEAD, CHRISTOPHER",COM MEDICINE,8.928333333333333,3.91
2719,"PFENNING, ANDREAS",GENOMICS AND EPIGENE,9.5,4.5
2725,"MOHIMANI, HOSEIN",COMP METH PRO & META,8.166666666666666,4.32
2731,"CARJA, OANA",MODELING EVOLUTION,5.0,4.165
2740,"XU, MIN",BIOIMAGE INFORMATICS,9.7,3.2350000000000003
2740,"YANG, GE",BIOIMAGE INFORMTCS,7.0,4.0
2750,"KANGAS, JOSHUA",AUTOMTN SCI RESRC,8.5,4.25
2750,"LANGMEAD, CHRISTOPHER",AUTOMTN BIOLGL RESRC,10.420000000000002,3.46
2750,"LANGMEAD, CHRISTOPHER",AUTOMTN SCI RESRC,10.245000000000001,3.2350000000000003
2750,"MURPHY, ROBERT",AUTOMTN SCI RESRC,8.0,4.25
2760,"KANGAS, JOSHUA",LAB METHODS COMP BIO,6.522222222222222,3.8966666666666665
2760,"KANGAS, JOSHUA",LAB MTHDS COMP BIO,9.5,4.0
2760,"PROCACCIA, VERA",LAB METHODS COMP BIO,10.0,4.0
2761,"KANGAS, JOSHUA",LAB METHODS AUTBIO I,9.58,4.755
2762,"KANGAS, JOSHUA",LAB METHDS AUTBIO II,10.5,4.835
2763,"KANGAS, JOSHUA",AUTO SCI CAPSTONE I,11.75,4.75
2764,"KANGAS, JOSHUA",AUT SCI CAP II,6.5,5.0
3101,"BRASIER, DANIEL",BSC FIRST YEAR SEMNR,3.5,4.375
3101,"HO, CHIEN",BSC FIRST YEAR SEMNR,4.4,4.5
3115,"AFFARA, NESRINE",PHAGE GENOMICS RSRCH,7.0,4.33
3115,"JARVIK, JONATHAN",PHAGE GENOMICS RSRCH,5.0,4.94
3115,"MCGUIER, NATALIE",PHAGE GENOMICS RSRCH,5.0,4.94
3115,"VINCENT, ANNETTE",PHAGE GENOMICS RSRCH,6.0,4.415
3116,"ILYIN, VALENTIN",PHAGE GENOMICS RSRCH,5.976666666666667,3.856666666666667
3116,"LOPEZ, ANTONIO-JAVIER",PHAGE GENOMICS RSRCH,5.335,4.8100000000000005
3116,"MCGUIER, NATALIE",PHAGE GENOMICS RSRCH,5.335,4.82
3117,"BACHU, RAVICHANDRA",DISCOVERY IN BIO SCI,6.625,4.404999999999999
3117,"DOONAN, CARRIE",DISCOVERY IN BIO SCI,5.725,4.675
3117,"DOONAN, LYNLEY",DISCOVERY IN BIO SCI,5.63125,4.60125
